Success Rate (%),Average Cost,Standard Deviation,Average Execution Time (s),Parameters,Dataset
100.0,53435.6,10653.542849212181,0.01269669532775879,"(1000, 0.999, 500, 1e-05, 1000, 10000)",datasets/sppnw41.txt
100.0,279448.4,160208.51877050733,0.017108392715454102,"(1000, 0.999, 500, 1e-05, 1000, 100000)",datasets/sppnw41.txt
100.0,17844.0,2208.3849754967996,0.009889888763427734,"(1000, 0.999, 500, 1e-05, 2000, 1000)",datasets/sppnw41.txt
100.0,50806.8,14189.674991344938,0.01419360637664795,"(1000, 0.999, 500, 1e-05, 2000, 10000)",datasets/sppnw41.txt
100.0,308393.6,105664.46569798193,0.019949889183044432,"(1000, 0.999, 500, 1e-05, 2000, 100000)",datasets/sppnw41.txt
100.0,18667.3,1143.7213865273307,0.0064389705657958984,"(1000, 0.999, 1000, 0.001, 500, 1000)",datasets/sppnw41.txt
100.0,47360.0,16963.993444940967,0.029922294616699218,"(1000, 0.999, 1000, 0.001, 500, 10000)",datasets/sppnw41.txt
100.0,282244.1,100842.8982362665,0.033901214599609375,"(1000, 0.999, 1000, 0.001, 500, 100000)",datasets/sppnw41.txt
100.0,19076.4,747.3532230478436,0.006648707389831543,"(1000, 0.999, 1000, 0.001, 1000, 1000)",datasets/sppnw41.txt
100.0,45218.8,15009.895854402188,0.030344724655151367,"(1000, 0.999, 1000, 0.001, 1000, 10000)",datasets/sppnw41.txt
100.0,308372.0,82232.69505251545,0.042904090881347653,"(1000, 0.999, 1000, 0.001, 1000, 100000)",datasets/sppnw41.txt
100.0,19031.3,984.1228632645417,0.0064814090728759766,"(1000, 0.999, 1000, 0.001, 2000, 1000)",datasets/sppnw41.txt
100.0,52679.2,9954.374413291878,0.02671658992767334,"(1000, 0.999, 1000, 0.001, 2000, 10000)",datasets/sppnw41.txt
100.0,358492.0,128600.29600976818,0.03880200386047363,"(1000, 0.999, 1000, 0.001, 2000, 100000)",datasets/sppnw41.txt
100.0,18026.9,1709.4239643809842,0.011729288101196288,"(1000, 0.999, 1000, 0.0001, 500, 1000)",datasets/sppnw41.txt
100.0,48122.5,12188.149886262476,0.031180691719055176,"(1000, 0.999, 1000, 0.0001, 500, 10000)",datasets/sppnw41.txt
100.0,269763.4,134623.9624956865,0.039022183418273924,"(1000, 0.999, 1000, 0.0001, 500, 100000)",datasets/sppnw41.txt
100.0,19564.6,46.199999999999996,0.00757288932800293,"(1000, 0.999, 1000, 0.0001, 1000, 1000)",datasets/sppnw41.txt
100.0,41687.0,14258.198196125624,0.019344615936279296,"(1000, 0.999, 1000, 0.0001, 1000, 10000)",datasets/sppnw41.txt
100.0,209222.5,149510.07339122673,0.03882241249084473,"(1000, 0.999, 1000, 0.0001, 1000, 100000)",datasets/sppnw41.txt
